,0,1,2,crystal,configuration,temperature_mean,temperature_min,temperature_max,temperature_change
6,115.482,2.34375,0.000473336,E0,88C_CMAM,24.61,24.6,24.8,0.2
7,87.1183,1.3129,0.00140199,E0,88C_IFIC,24.34,24.3,24.4,0.1
0,181.945,2.2872,0.000472547,E1,88C_CMAM,24.83,24.8,25.0,0.2
1,252.143,0.932148,0.00172582,E1,88C_IFIC,24.6,24.6,24.6,0.0
8,161.23,2.71073,0.000492259,E2,88C_CMAM,24.99,24.8,25.0,0.2
9,121.917,1.64966,0.00164271,E2,88C_IFIC,24.72,24.6,24.8,0.2
4,221.772,2.31547,0.00066829,E3,88C_CMAM,24.39,24.3,24.4,0.1
5,279.883,1.1508,0.00174802,E3,88C_IFIC,24.09,23.9,24.1,0.2
2,180.879,3.15131,0.000756309,E4,88C_CMAM,25.7,25.7,25.7,0.0
3,155.37,1.89704,0.00208928,E4,88C_IFIC,25.28,25.2,25.3,0.1
